playerid,value,spotrac
14162,31752678,FA
3184,2000000,FA
10954,45111765,FA
8700,45336103,FA
16137,32478220,FA
16252,33616679,FA
11762,15287228,FA
12161,29555829,FA
15640,37936277,FA
10264,16090407,FA
5235,8663516,FA
9132,16733880,FA
15676,12748090,FA
9368,5210717,FA
10233,6654567,FA
3473,21422347,FA
4106,8030809,FA
3096,13844487,FA
2434,10319369,FA
6655,6199461,FA
5933,4948750,FA
10047,10982775,FA
8048,2000000,FA
19197,2000000,FA
3240,2000000,FA
1943,10439187,FA
14128,8919649,FA
18314,24801755,FA
15010,5174002,FA
13145,13831870,FA
12164,2000000,FA
15873,11981447,FA
11609,16418684,FA
10123,12095550,FA
10950,6989934,FA
10021,2000000,FA
11442,6400157,FA
11038,6624958,FA
12304,21040210,FA
2396,10478480,FA
17901,17397505,FA
15423,11639459,FA
9847,7629875,FA
2429,9786684,FA
12880,13642924,FA
3192,2000000,FA
15223,10017700,FA
6398,2000000,FA
14274,15012727,FA
15149,18117905,FA
11836,13953086,FA
8779,2000000,FA
2967,8353833,FA
2136,8307233,FA
13449,13142114,FA
10815,14909248,FA
14078,11985930,FA
12927,21199909,FA
7593,17273737,FA
14843,9545387,FA
12988,2000000,FA
11899,14684536,FA
9111,2000000,FA
11674,14596995,FA
12808,10382643,FA
13774,13786511,FA
8202,3500696,FA
11760,14527815,FA
11200,2000000,FA
15440,2000000,FA
4806,2000000,FA
2900,2958417,FA
10231,5058792,FA
13338,3145512,FA
5254,7044609,FA
10762,2000000,FA
12917,12361823,FA
10430,2000000,FA
13218,2000000,FA
6986,2000000,FA
8623,5778406,FA
10745,2000000,FA
7274,2000000,FA
9774,6730990,FA
15937,4608517,FA
13911,2000000,FA
6893,14700083,FA
6661,2000000,FA
13359,2000000,FA
10200,2000000,FA
1247,4884082,FA
10556,4589740,FA
6902,17921941,FA
12976,2000000,FA
15552,2000000,FA
12447,7273839,FA
16977,2000000,FA
13273,17576905,FA
12918,2000000,FA
11752,2000000,FA
8241,8969540,FA
8722,2000000,FA
6345,2000000,FA
27505,2000000,FA
7882,2000000,FA
14542,2000000,FA
13265,9645521,FA
14975,9410263,FA
3542,2000000,FA
8110,2000000,FA
12760,8190360,FA
15191,2000000,FA
11384,2000000,FA
15684,2000000,FA
12510,4891195,FA
4301,2000000,FA
13435,2000000,FA
11487,2000000,FA
12434,2000000,FA
1890,3389399,FA
10133,2000000,FA
12972,2000000,FA
15451,2000000,FA
11423,14209874,FA
3284,2000000,FA
8090,2000000,FA
7836,2000000,FA
12325,6517690,FA
12160,2220565,FA
6483,2000000,FA
3298,2000000,FA
8259,2000000,FA
13183,6456838,FA
11902,2696796,FA
8418,2000000,FA
13836,2000000,FA
27515,2000000,FA
12272,2000000,FA
14950,2000000,FA
17838,2000000,FA
5448,2000000,FA
5358,2000000,FA
5497,2000000,FA
4869,2000000,FA
11713,2000000,FA
3321,2000000,FA
14131,2000000,FA
5273,2000000,FA
9784,2000000,FA
5498,2000000,FA
12649,2000000,FA
7411,2000000,FA
13801,2000000,FA
3142,2000000,FA
15124,2000000,FA
10688,2000000,FA
11615,9391479,FA
13528,2000000,FA
16943,2000000,FA
5000,2000000,FA
15832,2000000,FA
18337,2000000,FA
9807,2000000,FA
16623,2000000,FA
10732,2000000,FA
15170,2000000,FA
19789,2000000,FA
16285,2000000,FA
17423,2000000,FA
17023,2000000,FA
11155,2000000,FA
12282,2000000,FA
14352,2000000,FA
12782,2000000,FA
10197,2000000,FA
19552,2000000,FA
20997,2000000,FA
12323,2000000,FA
16980,2000000,FA
19615,2000000,FA
16537,2000000,FA
5491,2000000,FA
14942,2000000,FA
10314,2000000,FA
14388,2000000,FA
20042,2000000,FA
17736,2000000,FA
19453,2000000,FA
11589,2000000,FA
10953,2000000,FA
10591,2000000,FA
10843,2000000,FA
10547,2000000,FA
13713,2000000,FA
12763,2000000,FA
13807,2000000,FA
17216,2000000,FA
13325,2000000,FA
16125,2000000,FA
15958,2000000,FA
13654,2000000,FA
8709,4524458,FA
12719,2000000,FA
19868,2000000,FA
15608,2000000,FA
10199,2000000,FA
11632,2000000,FA
19191,2000000,FA
1157,2000000,FA
12673,2000000,FA
14706,2000000,FA
18600,2000000,FA
16958,2000000,FA
15104,2000000,FA
11490,2000000,FA
11342,2000000,FA
13475,2000000,FA
13658,2000000,FA
14663,2000000,FA
15585,2000000,FA
14288,2000000,FA
16925,2000000,FA
20030,2000000,FA
10354,2000000,FA
13420,2000000,FA
7226,2000000,FA
9646,2000000,FA
18311,2000000,FA
16850,2000000,FA
12586,2000000,FA
13132,2000000,FA
2882,2000000,FA
10473,2000000,FA
11334,2000000,FA
15519,2000000,FA
12944,2000000,FA
16376,20779294,FA
14016,2000000,FA
8553,2000000,FA
10534,2000000,FA
13510,2000000,FA
6627,2000000,FA
9460,2000000,FA
6499,2000000,FA
13360,2000000,FA
12926,2000000,FA
13130,2000000,FA
11494,2000000,FA
6832,2000000,FA
11203,2000000,FA
5398,2000000,FA
13593,2000000,FA
16086,2000000,FA
15232,2000000,FA
14696,2000000,FA
