"","Team","exp_cap_char","exp_cap"
"1","ARI","$101,719,966","101719966"
"2","ATL","$221,629,211","221629211"
"3","BAL","$62,992,001","62992001"
"4","BOS","$151,341,928","151341928"
"5","CHC","$137,937,672","137937672"
"6","CHW","$175,089,067","175089067"
"7","CIN","$91,133,510","91133510"
"8","CLE","$98,875,844","98875844"
"9","COL","$171,600,410","171600410"
"10","DET","$127,584,390","127584390"
"11","HOU","$165,798,816","165798816"
"12","KC","$89,214,816","89214816"
"13","LAA","$170,602,982","170602982"
"14","LAD","$188,440,828","188440828"
"15","MIA","$111,600,746","111600746"
"16","MIL","$148,537,938","148537938"
"17","MIN","$110,725,357","110725357"
"18","NYM","$243,452,328","243452328"
"19","NYY","$195,963,027","195963027"
"20","OAK","$50,926,176","50926176"
"21","PHI","$172,612,219","172612219"
"22","PIT","$65,331,968","65331968"
"23","SD","$198,399,703","198399703"
"24","SF","$121,004,470","121004470"
"25","SEA","$160,250,207","160250207"
"26","STL","$165,120,737","165120737"
"27","TB","$112,020,312","112020312"
"28","TEX","$126,675,058","126675058"
"29","TOR","$215,561,766","215561766"
"30","WSH","$114,842,375","114842375"
